,day,daily_avg_ask,daily_avg_bid
0,02,0.33391412815239907,0.3319261398943842
1,03,0.3079822298966968,0.31601838691219086
2,04,0.28704142811725936,0.3054038572643079
3,05,0.28169259120327605,0.23241904122666782
4,08,0.2899583074609677,0.27932006014570854
5,09,0.2983148811059343,0.29716721848114835
6,10,0.2990129745515755,0.2864344206071482
7,11,0.33111055220828106,0.3340065812197918
8,12,0.30794465344679633,0.26598074798007093
9,15,0.3140607394272113,0.30316418450025756
10,16,0.32972449924380093,0.3167393316372222
11,17,0.31834317281805463,0.23750412741231772
12,18,0.3413062413552202,0.30781567283827393
13,19,0.3400443869384275,0.32122297402302924
14,22,0.3378497747308823,0.3064225409925366
15,23,0.32151248386130665,0.3087600560640142
16,24,0.2990556495907293,0.2670544741913275
17,25,0.3070390962183021,0.30353690404964745
18,26,0.29929836360789663,0.28233251137101306
19,29,0.3133225393427511,0.24015912343172774
20,30,0.3163965234629761,0.196750184721309
21,31,0.28910420206357584,0.27673573518809996
